,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,features,column_mean,column_std
98,98,98,98,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.6__ql_0.0",-2.6134954179606995e-14,0.9999999999999757
99,99,99,99,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.6__ql_0.2",-1.8046637832940103e-15,1.0000000000000178
100,100,100,100,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.6__ql_0.4",-3.945326083935115e-14,0.9999999999998489
101,101,101,101,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.8__ql_0.0",2.2082748052782667e-14,0.9999999999999873
102,102,102,102,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.8__ql_0.2",2.1022773731694438e-14,1.0000000000000009
103,103,103,103,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.8__ql_0.4",-1.549667251806734e-14,0.9999999999999889
104,104,104,104,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.8__ql_0.6",-2.468854910112993e-14,1.0000000000000695
105,105,105,105,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_1.0__ql_0.0",-1.2259140843516365e-14,1.000000000000018
106,106,106,106,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_1.0__ql_0.2",-7.826699686330696e-15,0.9999999999999868
107,107,107,107,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_1.0__ql_0.4",2.2466227219434903e-14,0.9999999999999825
108,108,108,108,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_1.0__ql_0.6",-4.6489189658714065e-15,1.0000000000000226
109,109,109,109,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_1.0__ql_0.8",1.1703673555342361e-14,1.0000000000000249
110,110,110,110,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.2__ql_0.0",-6.933800491900612e-15,0.9999999999999949
111,111,111,111,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.4__ql_0.0",1.0777725987054898e-14,1.0000000000000304
112,112,112,112,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.4__ql_0.2",6.189377861590899e-15,0.9999999999998878
113,113,113,113,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.6__ql_0.0",1.8407121401497086e-14,1.0000000000000073
114,114,114,114,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.6__ql_0.2",-3.806275641079723e-15,0.9999999999999684
115,115,115,115,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.6__ql_0.4",2.0797867744604306e-14,1.000000000000021
116,116,116,116,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.8__ql_0.0",8.328789635371222e-15,0.9999999999999877
117,117,117,117,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.8__ql_0.2",1.3015152746051344e-14,1.0000000000000098
118,118,118,118,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.8__ql_0.4",3.6283025602208784e-15,1.0000000000000142
119,119,119,119,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_0.8__ql_0.6",-2.2099735507094894e-14,1.0000000000000029
120,120,120,120,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_1.0__ql_0.0",-2.268605623439827e-15,0.9999999999999978
121,121,121,121,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_1.0__ql_0.2",7.724129168253901e-15,1.0000000000000062
122,122,122,122,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_1.0__ql_0.4",3.408068028221148e-15,0.9999999999999956
123,123,123,123,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_1.0__ql_0.6",1.2257849259109488e-14,1.000000000000017
124,124,124,124,"heartrate__change_quantiles__f_agg_""var""__isabs_false__qh_1.0__ql_0.8",8.414386188267978e-15,0.9999999999999947
125,125,125,125,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.2__ql_0.0",-5.4718502424168425e-15,1.000000000000025
126,126,126,126,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.4__ql_0.0",-5.069792957692802e-15,1.000000000000013
127,127,127,127,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.4__ql_0.2",-4.1967303752140004e-15,0.9999999999999583
128,128,128,128,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.6__ql_0.0",-1.1940116122735156e-14,1.000000000000019
129,129,129,129,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.6__ql_0.2",-1.3421062653388516e-15,1.000000000000054
130,130,130,130,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.6__ql_0.4",-1.868112614360523e-14,0.9999999999998733
131,131,131,131,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.8__ql_0.0",-3.6193828715624324e-15,1.0000000000000127
132,132,132,132,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.8__ql_0.2",-1.7755426016586316e-14,1.0000000000000242
133,133,133,133,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.8__ql_0.4",2.6636711115696663e-15,1.0000000000000273
134,134,134,134,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_0.8__ql_0.6",-9.841095026075579e-15,0.9999999999999688
135,135,135,135,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_1.0__ql_0.0",-6.138314751698201e-15,1.0000000000000016
136,136,136,136,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_1.0__ql_0.2",-3.2149163013692358e-15,0.9999999999999929
137,137,137,137,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_1.0__ql_0.4",8.388629954963644e-16,1.0000000000000056
138,138,138,138,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_1.0__ql_0.6",3.336772906189945e-16,1.0000000000000018
139,139,139,139,"heartrate__change_quantiles__f_agg_""var""__isabs_true__qh_1.0__ql_0.8",-6.8354248831661856e-15,1.0000000000000033
140,140,140,140,heartrate__cid_ce__normalize_false,-5.100976543332449e-14,1.0000000000000129
141,141,141,141,heartrate__cid_ce__normalize_true,1.8032430404464474e-14,1.0000000000000078
142,142,142,142,heartrate__count_above_mean,-2.5502553312147753e-16,1.0000000000000562
143,143,143,143,heartrate__count_below_mean,2.0794171722385154e-15,0.9999999999999377
144,144,144,144,"heartrate__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",-1.3575664969663166e-15,1.0000000000000042
145,145,145,145,"heartrate__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",8.216453154205418e-14,1.000000000000004
146,146,146,146,"heartrate__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",1.6270643935502748e-16,0.999999999999998
147,147,147,147,"heartrate__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",2.132147033027031e-16,0.9999999999999942
148,148,148,148,"heartrate__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",-2.6000485236191734e-14,1.0000000000000009
149,149,149,149,"heartrate__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",-5.992156379251188e-14,1.0000000000000075
150,150,150,150,"heartrate__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",-1.524862086628638e-17,1.0000000000000029
151,151,151,151,"heartrate__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",2.7974727644770662e-14,1.0000000000000042
152,152,152,152,"heartrate__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",3.6279501566425016e-15,1.0000000000000004
153,153,153,153,"heartrate__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",3.0730410656198e-14,1.000000000000005
154,154,154,154,"heartrate__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",5.877973657424408e-17,0.9999999999999953
